"X","Y","DateTime"
"925.5","444.1","235707618951"
"919.3","380.0","235707635454"
"933.0","322.1","235707651958"
"942.3","322.5","235707660295"
"939.0","320.9","235707676911"
"941.2","332.9","235707685275"
"955.9","323.6","235707693648"
"942.7","340.6","235707701906"
"945.9","337.4","235707710408"
"945.9","337.4","235707718738"
"940.7","340.6","235707727167"
"939.0","346.1","235707735417"
"939.0","346.1","235707743718"
"952.7","346.8","235707752048"
"951.6","341.0","235707760449"
"953.0","343.7","235707768812"
"941.5","331.1","235707777125"
"946.6","335.7","235707785382"
"948.3","333.3","235707793776"
"940.0","346.0","235707802326"
"944.9","332.7","235707810367"
"940.9","329.7","235707818677"
"931.5","335.6","235707827179"
"936.8","333.2","235707835348"
"936.8","333.2","235707843698"
"950.4","318.2","235707852080"
"941.2","338.3","235707860241"
"922.8","386.6","235707868692"
"914.1","408.3","235707877178"
"915.1","455.2","235707885243"
"905.1","478.1","235707893769"
"904.9","473.0","235707902006"
"918.7","494.1","235707910293"
"921.8","506.2","235707918651"
"919.6","513.2","235707927156"
"919.9","507.1","235707935260"
"912.2","498.9","235707943768"
"915.4","496.4","235707952125"
"917.1","493.1","235707960245"
"916.6","480.7","235707968636"
"918.1","486.4","235707977044"
"921.5","515.7","235707985237"
"921.5","515.7","235707993872"
"924.3","512.9","235708002047"
"920.4","501.4","235708010262"
"916.7","486.7","235708018695"
"916.2","487.5","235708027111"
"922.1","476.3","235708035340"
"918.9","480.8","235708043800"
"918.1","479.9","235708052020"
"923.9","518.7","235708060197"
"923.3","519.8","235708068594"
"936.3","491.3","235708077176"
"922.5","479.1","235708085401"
"905.1","489.0","235708093693"
"906.1","486.5","235708101874"
"925.9","457.7","235708110276"
"908.9","483.4","235708118587"
"919.4","505.2","235708127055"
"919.4","505.2","235708135321"
"930.3","492.4","235708143775"
"923.9","475.8","235708152047"
"892.2","466.9","235708160495"
"913.7","454.8","235708168778"
"916.3","461.1","235708177002"
"915.1","462.2","235708185189"
"915.2","458.8","235708193545"
"916.7","455.1","235708202034"
"906.5","475.0","235708210309"
"911.5","472.4","235708218718"
"910.3","480.2","235708226964"
"907.3","477.2","235708235262"
"908.9","483.1","235708243869"
"909.7","487.2","235708252044"
"913.7","489.3","235708260218"
"923.7","468.0","235708268718"
"912.1","484.1","235708277243"
"928.8","477.4","235708285318"
"921.1","496.2","235708293683"
"918.8","494.8","235708301904"
"910.9","485.3","235708310302"
"911.0","485.3","235708318868"
"969.2","473.8","235708327075"
"992.9","453.8","235708335408"
"999.9","469.7","235708343642"
"995.4","460.6","235708351982"
"992.3","462.5","235708360411"
"999.8","437.4","235708368571"
"1007.0","448.2","235708377112"
"1005.1","498.1","235708385520"
"1005.1","498.1","235708393519"
"998.6","497.4","235708401964"
"1012.1","464.6","235708410294"
"1004.2","464.5","235708418592"
"1009.4","467.9","235708426998"
"1002.9","502.8","235708435243"
"1003.1","502.7","235708443539"
"1007.6","473.5","235708451987"
"1006.8","471.7","235708460298"
"1014.6","474.5","235708468558"
"997.9","497.8","235708476984"
"1000.2","490.9","235708485372"
"1000.2","490.9","235708493545"
"1001.1","484.9","235708501958"
"1006.4","451.6","235708510176"
"1016.1","454.8","235708518843"
"995.9","472.9","235708526958"
