"X","Y","DateTime"
"1485.7","676.3","235894540981"
"1487.8","678.8","235894548976"
"1485.8","671.7","235894557383"
"1502.7","665.5","235894565642"
"1329.9","578.0","235894582302"
"1189.7","479.4","235894599072"
"1144.7","445.6","235894607491"
"945.0","316.7","235894615921"
"947.7","315.1","235894624072"
"947.7","315.1","235894632518"
"1018.0","367.7","235894640776"
"961.9","359.5","235894648959"
"962.3","359.2","235894657329"
"1030.3","389.8","235894665619"
"1023.9","393.8","235894674167"
"1024.8","394.4","235894682668"
"1024.8","395.5","235894690853"
"1028.1","396.3","235894699232"
"1027.3","395.1","235894707399"
"1029.9","394.2","235894715785"
"1030.4","393.7","235894724208"
"1032.2","395.6","235894732447"
"1034.5","395.8","235894740685"
"976.6","388.8","235894749237"
"976.6","388.8","235894757492"
"963.3","379.2","235894765924"
"978.7","357.1","235894774212"
"978.7","357.1","235894782638"
"1025.6","387.2","235894791069"
"971.5","381.8","235894799020"
"971.5","381.8","235894807361"
"1004.7","380.7","235894815660"
"962.8","342.6","235894823976"
"870.7","308.2","235894832598"
"806.9","280.9","235894840996"
"639.7","225.1","235894849074"
"639.8","225.6","235894857504"
"631.0","221.2","235894865698"
"631.8","237.0","235894882630"
"636.9","237.5","235894890887"
"635.3","213.0","235894899083"
"635.4","213.4","235894907532"
"721.3","255.8","235894915903"
"641.8","223.5","235894924190"
"641.8","223.5","235894932610"
"647.3","225.1","235894940593"
"646.9","237.8","235894949101"
"646.9","237.7","235894957373"
"612.9","231.1","235894965789"
"564.3","219.5","235894974036"
"563.5","219.0","235894982345"
"556.9","247.6","235894998961"
"554.6","248.9","235895007415"
"630.8","258.5","235895024094"
"633.9","261.6","235895032338"
"518.8","254.0","235895048879"
"518.8","254.0","235895057539"
"669.9","280.0","235895074109"
"524.2","190.8","235895082309"
"511.6","214.1","235895090754"
"519.9","234.3","235895098927"
"519.9","234.3","235895107379"
"511.8","214.3","235895124028"
"511.9","214.0","235895132353"
"522.0","205.0","235895149005"
"522.0","205.0","235895157373"
"691.1","322.1","235895174065"
"689.7","332.8","235895182212"
"520.4","219.9","235895198967"
"520.4","219.9","235895207420"
"520.8","223.5","235895224046"
"520.8","223.5","235895232353"
"525.1","241.6","235895248881"
"525.1","241.6","235895257340"
"723.8","363.6","235895274110"
"708.4","358.8","235895282283"
"537.1","226.0","235895298959"
"537.1","226.0","235895307335"
"724.6","339.0","235895324128"
"556.5","281.4","235895332248"
"886.1","391.0","235895348901"
"940.9","386.4","235895357428"
"951.6","383.2","235895374109"
"951.5","378.2","235895382342"
"962.7","381.7","235895399081"
"953.4","378.2","235895407551"
"834.9","318.1","235895415551"
"834.6","315.3","235895424210"
"834.6","315.3","235895432320"
"826.3","311.0","235895440792"
"829.1","301.7","235895448924"
"829.1","301.7","235895457320"
"851.3","318.3","235895465628"
"853.9","318.0","235895473988"
